user,qid,images,pid,context,n_main,percent,comment,outer_link,code_id,news,picture_number,keyword,biggest,typing,like,share
U12,4,1653883913000-2022-05-30-12-11-53-9-Facebook.jpg,0,"在想些什麼?
附圖重,
建立時,
?各
YanRuTsai
",0,0.386835017,0,0,0,0,1,0,1,0,0,0
U12,4,1653883913000-2022-05-30-12-11-53-9-Facebook.jpg,1,"-
遊戲大亂鬥中11分鐘前
|RNG:紅方有辦法突破即劣?
#MSI2022#RNG#訪問并命中注定投稿
Hot
MS/2022總冠軍RNG專訪!關)
",0,0.353164983,0,0,1,0,1,0,0,0,0,0
U12,4,1653883914000-2022-05-30-12-11-54-9-Facebook.jpg,0,"相府所作。
建立配許計
YenRuTeal
",0,0.332121212,0,0,2,0,2,0,0,0,0,0
U12,4,1653883914000-2022-05-30-12-11-54-9-Facebook.jpg,1,"X
遊戲大亂鬥中11分鐘前·RNG:紅方有執法突破P劣勢
#MSI2022#RNG#訪問#命中注定投稿
HotMSI2022總冠軍RNG專訪
",0,0.407878788,0,0,3,0,2,0,1,0,0,0
U12,4,1653883916000-2022-05-30-12-11-56-9-Facebook.jpg,0,"果客
YanRuTsai
",0,0.215959596,0,0,2,0,3,0,0,0,0,0
U12,4,1653883916000-2022-05-30-12-11-56-9-Facebook.jpg,1,"X
遊戲大亂鬥中11分鐘前·
ENG:紅方有辦法突破BP劣勢
#MSI2022#RNG#訪問#命中注定投稿
Hot
MSI2022總冠軍RNG訪!關
leaque-funny.com
【MSI2022]RNG聯訪:紅方有辦法突破BP?勢,雖然最後都
沒有處「英雄聯盟
差55
留言
",0,0.524040404,0,0,3,0,3,0,1,0,0,0
U12,4,1653883917000-2022-05-30-12-11-57-9-Facebook.jpg,0,"建立時狀態
量。
YanRuTsal
",0,0.196599327,0,0,4,0,4,0,0,0,0,0
U12,4,1653883917000-2022-05-30-12-11-57-9-Facebook.jpg,1,"遊戲大亂鬥
X
11分?前
RNG;紅方有辦法突破BP劣勢
#MSI2022#RNG#訪問#命中注定投複
Hot
MS/2022總冠軍RNG專訪!關
league-funny.com
【MSI2022]RNG聯訪:紅方有辦法突破BP%勢,雖然最後都沒有通|英雄聯盟
055
3留言
",0,0.543400673,0,0,1,0,4,0,1,0,0,0
U12,4,1653883918000-2022-05-30-12-11-58-9-Facebook.jpg,0,"期附圖世
建立限時必胜
YanRuTsal
",0,0.174713805,0,0,5,0,5,0,0,0,0,0
U12,4,1653883918000-2022-05-30-12-11-58-9-Facebook.jpg,1,"X
遊戲
大亂鬥11分鐘前
ENG:紅方有辦法突破BP步外
#MSI2022#RNG#訪問#命中注定投稿
MS/2022總冠軍RNG新聞
league-funny.com
【MSI2022]RNG聯訪:紅方有辦法突破BP劣勢,雖然最後都沒有藏|英雄聯盟
055
3留言
",0,0.565286195,0,0,3,0,5,0,1,0,0,0
U12,4,1653883919000-2022-05-30-12-11-59-9-Facebook.jpg,0,"建立時計監
YanRuTsai
",0,0.134309764,0,0,5,0,6,0,0,0,0,0
