user,qid,images,pid,context,percent,comment,outer_link,code_id,news,biggest,repeat,typing,like,share,detect_time,row_index,visible time,discuss,discuss_reason,picture_number,color
U3,1,1660012491000-2022-08-09-10-34-51-371-Facebook.jpg,0,會,0.245,0,0,1,0,0,0,0,0,0,2022/8/9 10:34,0,0,0, ,1,"rgba(2,22,105,0.3)"
U3,1,1660012491000-2022-08-09-10-34-51-371-Facebook.jpg,1,"【貼陽粉调查】政资金最新公布八大院校畢業生數據,全港八大業生的平均年藍最新歸28.3萬元,且八大畢業生研耐按年錄全缘,查看更多alwindirestank薪酬趨勢調查:八大畢業生平均年薪28.1萬院|校、科系翻全名:八大畢業生平均年薪28.1醫博科跟文科人工相差1倍各院校、科系薪金排名一覧|香港財經時報券8月3日16:00●黃金",0.495,0,0,2,1,1,0,0,0,0,2022/8/9 10:34,1,0,0, ,1,"rgba(2,22,105,1)"
U3,1,1660012492000-2022-08-09-10-34-52-371-Facebook.jpg,0,"生數據,全港八大畢業生的平均年薪最新督28.1萬元,且八大畢業生研按年指全線,查看更多:薪酬雄第調查|八大畢業生平均年薪28.1開校、科系酬金預名沙八大畢業生平均年薪28.1萬,醫護科跟文科人工相差1倍各院校、科系薪金排名一覽發薪酬調查Ot的家",0.516978022,0,0,2,1,1,0,0,0,0,2022/8/9 10:34,2,0,0, ,2,"rgba(2,22,105,1)"
U3,1,1660012492000-2022-08-09-10-34-52-371-Facebook.jpg,1,探索更多可能接的制作者和公眾人物,0.223021978,0,0,3,0,0,0,0,0,0,2022/8/9 10:34,3,0,0, ,2,"rgba(5,61,180,1)"
U3,1,1660012493000-2022-08-09-10-34-53-371-Facebook.jpg,0,作DEES>,0.478516484,0,0,3,0,1,0,0,0,0,2022/8/9 10:34,4,0,0, ,3,"rgba(5,61,180,1)"
U3,1,1660012493000-2022-08-09-10-34-53-371-Facebook.jpg,1,"不管唐主人的機動外電運站GlobalNewsForTaiwan30AJeantern:2天17:21陳家福寧街十號機超瑞格文斌酸:-查看更多地址,都是英國首相府",0.261483516,0,0,4,1,0,0,0,0,0,2022/8/9 10:34,5,0,0, ,3,"rgba(5,61,180,0.3)"
U3,1,1660012495000-2022-08-09-10-34-55-371-Facebook.jpg,0,過度查看更多︰,0.146098901,0,0,3,0,0,0,0,0,0,2022/8/9 10:34,6,0,0, ,4,"rgba(5,61,180,1)"
U3,1,1660012495000-2022-08-09-10-34-55-371-Facebook.jpg,1,"不管主人的唐寧街十號换酸地址瑞發文綱查秘:利蘿蔔外電網站GlobalNewsForTaiwan加入JammerLee5天11:314看更多,都是英國首相府",0.266483516,0,0,3,0,0,0,0,0,0,2022/8/9 10:34,7,0,0, ,4,"rgba(5,61,180,1)"
U3,1,1660012495000-2022-08-09-10-34-55-371-Facebook.jpg,2,蘇塔推文Todayis#InternationalCatDay:expectallcatstostrutaroundlikeweowntheplace.Expectthesametomorrowtoo.LarrytheCat@NumbertDcat,0.327417582,0,0,4,1,1,0,0,0,0,2022/8/9 10:34,8,0,0, ,4,"rgba(5,61,180,0.3)"
U3,1,1660012496000-2022-08-09-10-34-56-371-Facebook.jpg,0,查看更多>,0.114505495,0,0,3,0,0,0,0,0,0,2022/8/9 10:34,9,0,0, ,5,"rgba(5,61,180,1)"
